ID,Species,lat,lon,N,C,LEC,CNR,Sex,Year,TBL,Suess_d13C
KS20-07Pd,Spectacled porpoise,-44.36389,171.25306,8.55,-22.68,NA,4.955134761,Male,2020,221.7,-19.32
KS16-05Mg,Gray's beaked whale,-36.607222,174.810278,13.29,-20.66,NA,4.98,M,2016,478,-18.17
KS10-24Lo,Dusky dolphin,-46.47366,169.70054,11.62,-20.34,NA,5,Female,2010,NA,-17.86
H235-13,Hector's dolphin,-42.56417,171.12806,14.66,-18.93,-16.57,5.038153947,Female,2013,147,-16.4
H221-12,Hector's dolphin,-39.39611,173.785,14.04,-19.28,NA,5.086519356,Male,2012,127,-17.35
KS18-07Dd,Common dolphin,-41.10194,174.91472,14,-19.87,NA,5.095810815,Male,2018,NA,-18.15
H241-13,Hector's dolphin,-44.41972,171.25917,16.32,-18.72,-16.33,5.099795802,Male,2013,128.5,-16.16
KB44/09,Pygmy sperm whale,-35.875,174.470278,13.37,-19.26,NA,5.25,M,2009,330,-17.27
KS11-06Kb,Pygmy sperm whale,-39.4725,176.880833,14.74,-20.19,NA,5.31,F,2011,188,-17.81
KS12-22Lo,Dusky dolphin,-40.07392,175.13156,13.55,-19.55,NA,5.4,Male,2012,NA,-17.49
KS10-22Lo,Dusky dolphin,-46.49626,169.71041,11.17,-20.36,NA,5.5,Male,2010,NA,-17.87
KS11-47Sc,Striped dolphin,-36.13817,174.23644,12.54,-20.65,NA,5.5,Male,2011,NA,-18.05
KS11-51Lo,Dusky dolphin,-45.87732,170.57326,12.5,-20.52,NA,5.6,Female,2011,NA,-17.98
KS11-11Kb,Pygmy sperm whale,-39.083333,177.871667,14.53,-20.22,NA,5.62,M,2011,175,-17.82
KS10-23Lo,Dusky dolphin,-46.21069,167.62465,10.19,-20.76,NA,5.7,Female,2010,NA,-18.09
KS10-16Dd,Common dolphin,-35.88389,174.46722,14.62,-19.96,NA,5.734728161,Male,2010,230,-18.02
H210-11,Hector's dolphin,-46.32917,169.84278,15.24,-19.48,NA,5.96655135,Female,2011,134,-17.43
KB52/10,Pygmy sperm whale,-39.375278,176.895,14,-20.71,NA,6.01,F,2010,347,-18.06
KS10-20Kb,Pygmy sperm whale,-39.083333,177.871667,13.95,-20.1,-17.1,6.04,M,2010,320,-16.86
KS20-11Mg,Gray's beaked whale,-36.20167,175.41167,13.13,-21.14,-17.65,6.062006961,Male,2020,NA,-17.63
KB59/10,Pygmy sperm whale,-45.361111,170.847778,14.5,-20.59,NA,6.08,F,2010,283,-18
KS10-13Kb,Pygmy sperm whale,-41.416944,174.035556,13.43,-20.86,NA,6.24,F,2021,285,-18.38
KS11-03Lo,Dusky dolphin,-42.39846,173.70651,14.02,-20.11,NA,6.3,Male,2011,NA,-17.76
KS12-02Kb,Pygmy sperm whale,-39.083333,177.871667,14.33,-20.86,-17.34,6.31,F,2012,305,-17.14
KS20-13Sc,Striped dolphin,-35.103694,173.9440625,12.76,-21.45,NA,6.47,M,2020,242,-18.67
KS18-18Pm,Sperm whale,-39.64111,174.29528,15.23,-18.13,-16.79,6.5,Male,2018,1245,-16.72
KS14-37Pd,Spectacled porpoise,-44.38444,171.24806,9.71,-24.17,-19.63,6.511146515,Male,2014,200,-19.47
H249,Hector's dolphin,-43.57278,172.76972,15.83,-20.45,-17.25,6.828380255,Male,2014,123,-17.1
H225-12,Hector's dolphin,-40.55528,172.71111,15.06,-20.32,NA,6.928561586,Female,2012,141,-17.89
KS11-07Kb,Pygmy sperm whale,-41.291111,174.893333,14.08,-21.76,-17.59,7.19,F,2011,310,-17.37
H217-12,Hector's dolphin,-42.72139,170.95222,15.22,-20.08,-16.28,7.523950635,Female,2012,134,-16.09
BW32/11,Gray's beaked whale,-35.430278,174.430833,14.2,-20.36,NA,7.63,F,2011,475,-17.9
KS18-17Pm,Sperm whale,-39.64111,174.29528,14.73,-17.72,-17.02,7.8,Male,2018,1290,-16.95
BW27/10,Arnoux's beaked whale,-45.753611,170.626111,9.63,-30.76,-27.4,8.61,M,2010,870,-27.16
